epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
123,1906.72,0.97239,0.80895,1.4152,0.02645,0.85467,0.70763,0.82447,0.59786,0.9981,0.85992,1.40202,0.01483,0.0014634,0.0014634,0.0014634
124,1922.08,1.00928,0.84862,1.43759,0.02994,0.87951,0.68395,0.80817,0.5827,1.01319,0.87559,1.40008,0.01405,0.00145549,0.00145549,0.00145549
125,1937.35,0.98159,0.80642,1.41219,0.02838,0.8755,0.68408,0.81025,0.58903,0.99763,0.88038,1.37039,0.01253,0.00144753,0.00144753,0.00144753
126,1952.77,0.97289,0.82076,1.41842,0.02636,0.85734,0.71085,0.81393,0.59117,0.99321,0.87978,1.42045,0.01231,0.00143954,0.00143954,0.00143954
127,1968.4,0.98439,0.83374,1.42361,0.02559,0.88869,0.67453,0.80725,0.59362,0.99158,0.87955,1.38922,0.01334,0.00143152,0.00143152,0.00143152
128,1983.63,0.98465,0.81918,1.41264,0.02881,0.86847,0.70865,0.81744,0.60165,0.98351,0.85046,1.37938,0.01234,0.00142346,0.00142346,0.00142346
129,1998.94,0.97959,0.83488,1.43385,0.02719,0.86842,0.70627,0.82149,0.60093,0.97773,0.83405,1.36984,0.01252,0.00141537,0.00141537,0.00141537
130,2014.06,0.97844,0.81425,1.42919,0.02785,0.84923,0.70814,0.81508,0.58851,0.99219,0.85631,1.38456,0.01271,0.00140725,0.00140725,0.00140725
131,2029.28,0.98423,0.81403,1.41907,0.02792,0.85599,0.69841,0.81914,0.59149,0.99915,0.84909,1.3942,0.01278,0.00139909,0.00139909,0.00139909
132,2044.43,0.97211,0.80363,1.39539,0.02786,0.8602,0.70609,0.81817,0.58939,1.00265,0.85066,1.41428,0.01181,0.00139091,0.00139091,0.00139091
133,2059.55,0.9895,0.81838,1.43044,0.02633,0.85522,0.71275,0.82619,0.60645,0.99386,0.84918,1.38918,0.01247,0.00138269,0.00138269,0.00138269
134,2074.76,0.95323,0.7787,1.41233,0.02707,0.85101,0.70775,0.8176,0.59419,0.9886,0.84454,1.37556,0.01197,0.00137444,0.00137444,0.00137444
135,2089.9,0.95564,0.76148,1.38216,0.02478,0.84997,0.72043,0.82479,0.60885,0.97999,0.84719,1.35816,0.0121,0.00136617,0.00136617,0.00136617
136,2105.02,0.95772,0.75571,1.40178,0.02582,0.88246,0.69193,0.81847,0.60518,0.98854,0.85779,1.38427,0.01277,0.00135786,0.00135786,0.00135786
137,2120.29,0.94159,0.76865,1.40689,0.02703,0.84769,0.72043,0.83083,0.62417,0.98972,0.89491,1.37569,0.01238,0.00134953,0.00134953,0.00134953
138,2135.67,0.97117,0.7888,1.40666,0.02604,0.86277,0.70712,0.81762,0.59902,0.97746,0.8238,1.36078,0.01155,0.00134117,0.00134117,0.00134117
139,2150.95,0.95499,0.76986,1.39009,0.02612,0.87131,0.71275,0.8286,0.60984,0.97989,0.84267,1.36429,0.01207,0.00133278,0.00133278,0.00133278
140,2166.08,0.94154,0.75349,1.40389,0.02422,0.8597,0.70968,0.82607,0.61204,0.97077,0.83115,1.36863,0.01187,0.00132437,0.00132437,0.00132437
141,2181.21,0.97201,0.78402,1.41946,0.02701,0.8843,0.68488,0.82159,0.60054,0.99452,0.84076,1.37408,0.01352,0.00131593,0.00131593,0.00131593
142,2196.47,0.9527,0.7735,1.40313,0.02538,0.85958,0.72555,0.81978,0.60213,0.97624,0.82117,1.37174,0.01194,0.00130746,0.00130746,0.00130746
143,2211.76,0.96706,0.79385,1.42395,0.02733,0.87001,0.68883,0.81791,0.60582,0.97923,0.83379,1.36163,0.01184,0.00129898,0.00129898,0.00129898
144,2226.97,0.97408,0.80707,1.40986,0.02575,0.86452,0.70302,0.82257,0.59959,0.99468,0.82691,1.3651,0.01227,0.00129047,0.00129047,0.00129047
145,2242.56,0.95363,0.76929,1.40092,0.02732,0.89892,0.70353,0.83465,0.61644,0.96062,0.80372,1.35635,0.01235,0.00128193,0.00128193,0.00128193
146,2257.82,0.94473,0.75628,1.39709,0.02821,0.8636,0.71322,0.82449,0.59877,0.98565,0.8303,1.38398,0.0118,0.00127338,0.00127338,0.00127338
147,2273.62,0.92743,0.73838,1.37203,0.0243,0.88827,0.69606,0.81432,0.60032,0.97153,0.83018,1.36341,0.01131,0.0012648,0.0012648,0.0012648
148,2288.89,0.94803,0.76255,1.39521,0.02478,0.89666,0.69739,0.82675,0.61221,0.97715,0.82376,1.37445,0.01272,0.0012562,0.0012562,0.0012562
149,2304.57,0.91582,0.74183,1.34276,0.02357,0.8791,0.70251,0.82087,0.60087,0.96899,0.8297,1.35702,0.01273,0.00124759,0.00124759,0.00124759
150,2319.76,0.93709,0.74932,1.37858,0.02357,0.87451,0.68664,0.81458,0.59855,0.98509,0.83289,1.36999,0.01175,0.00123895,0.00123895,0.00123895
151,2335.53,0.91965,0.7292,1.35748,0.02281,0.87459,0.72145,0.83268,0.62304,0.96126,0.81677,1.36706,0.01113,0.0012303,0.0012303,0.0012303
152,2350.67,0.94498,0.73955,1.36523,0.02421,0.85425,0.71726,0.82349,0.59987,0.97551,0.84223,1.35525,0.01134,0.00122162,0.00122162,0.00122162
153,2366.5,0.94349,0.74701,1.3648,0.02561,0.87208,0.72043,0.82692,0.60384,0.97802,0.81817,1.36502,0.01158,0.00121293,0.00121293,0.00121293
154,2381.68,0.90739,0.71466,1.34696,0.02112,0.84984,0.69739,0.81731,0.60747,0.96101,0.84051,1.35013,0.0118,0.00120423,0.00120423,0.00120423
155,2397.29,0.90864,0.73002,1.34951,0.0238,0.87645,0.71556,0.82941,0.61179,0.97724,0.82625,1.36548,0.01227,0.00119551,0.00119551,0.00119551
156,2412.46,0.89973,0.72309,1.32744,0.02277,0.89258,0.68408,0.81665,0.61711,0.97715,0.88951,1.3643,0.01238,0.00118677,0.00118677,0.00118677
157,2428.4,0.91374,0.71921,1.34941,0.02252,0.8749,0.71326,0.83308,0.61367,0.96556,0.82045,1.33975,0.01141,0.00117802,0.00117802,0.00117802
